date,year,month,month_name,day,date_key
2018-02-24,2018,2,February,24,329
2018-03-23,2018,3,March,23,330
2018-01-04,2018,1,January,4,331
2017-08-16,2017,8,August,16,332
2018-05-21,2018,5,May,21,333
2018-05-12,2018,5,May,12,334
2018-01-03,2018,1,January,3,335
2017-07-12,2017,7,July,12,336
2018-06-14,2018,6,June,14,337
2018-01-15,2018,1,January,15,338
2017-03-04,2017,3,March,4,339
2017-07-04,2017,7,July,4,340
2018-04-24,2018,4,April,24,341
2018-05-31,2018,5,May,31,342
2017-12-10,2017,12,December,10,343
2017-07-27,2017,7,July,27,344
2018-04-19,2018,4,April,19,345
2018-08-19,2018,8,August,19,346
2018-05-26,2018,5,May,26,347
2017-09-21,2017,9,September,21,348
2018-05-13,2018,5,May,13,349
2018-02-16,2018,2,February,16,350
2017-03-10,2017,3,March,10,351
2017-10-28,2017,10,October,28,352
2017-07-03,2017,7,July,3,353
2018-01-06,2018,1,January,6,354
2018-03-03,2018,3,March,3,355
2017-10-22,2017,10,October,22,356
2018-03-10,2018,3,March,10,357
2018-01-21,2018,1,January,21,358
2018-08-07,2018,8,August,7,359
2017-04-15,2017,4,April,15,360
2017-02-25,2017,2,February,25,361
2017-09-16,2017,9,September,16,362
2017-03-24,2017,3,March,24,363
2017-05-31,2017,5,May,31,364
2017-03-08,2017,3,March,8,365
2017-05-02,2017,5,May,2,366
2017-06-19,2017,6,June,19,367
2017-11-23,2017,11,November,23,368
2018-05-05,2018,5,May,5,369
2018-03-06,2018,3,March,6,370
2017-06-20,2017,6,June,20,371
2017-08-02,2017,8,August,2,372
2018-04-28,2018,4,April,28,373
2018-04-12,2018,4,April,12,374
2018-01-28,2018,1,January,28,375
2018-02-23,2018,2,February,23,376
2017-09-17,2017,9,September,17,377
2018-02-12,2018,2,February,12,378
2017-05-06,2017,5,May,6,379
2017-08-14,2017,8,August,14,380
2017-02-10,2017,2,February,10,381
2018-06-22,2018,6,June,22,382
2018-06-21,2018,6,June,21,383
2017-01-22,2017,1,January,22,384
2018-04-08,2018,4,April,8,385
2018-06-20,2018,6,June,20,386
2017-05-07,2017,5,May,7,387
2018-07-17,2018,7,July,17,388
2017-02-26,2017,2,February,26,389
2018-04-06,2018,4,April,6,390
2018-03-21,2018,3,March,21,391
2017-05-25,2017,5,May,25,392
2017-08-20,2017,8,August,20,393
2017-03-29,2017,3,March,29,394
2017-12-28,2017,12,December,28,395
2018-03-24,2018,3,March,24,396
2017-03-07,2017,3,March,7,397
2017-06-10,2017,6,June,10,398
2017-11-08,2017,11,November,8,399
2017-08-03,2017,8,August,3,400
2017-03-25,2017,3,March,25,401
2018-07-16,2018,7,July,16,402
2017-03-27,2017,3,March,27,403
2017-10-27,2017,10,October,27,404
2017-12-25,2017,12,December,25,405
2017-03-05,2017,3,March,5,406
2018-05-28,2018,5,May,28,407
2017-03-01,2017,3,March,1,408
2017-07-19,2017,7,July,19,409
2017-07-26,2017,7,July,26,410
2018-04-05,2018,4,April,5,411
2017-07-14,2017,7,July,14,412
2017-09-06,2017,9,September,6,413
2017-10-01,2017,10,October,1,414
2017-05-05,2017,5,May,5,415
2018-04-14,2018,4,April,14,416
2018-08-25,2018,8,August,25,417
2017-06-06,2017,6,June,6,418
2017-07-23,2017,7,July,23,419
2017-07-11,2017,7,July,11,420
2018-08-15,2018,8,August,15,421
2017-06-24,2017,6,June,24,422
2018-02-04,2018,2,February,4,423
2018-04-23,2018,4,April,23,424
2017-04-24,2017,4,April,24,425
2017-03-15,2017,3,March,15,426
2017-11-14,2017,11,November,14,427
2017-05-12,2017,5,May,12,428
2018-02-18,2018,2,February,18,429
2018-02-07,2018,2,February,7,430
2018-06-10,2018,6,June,10,431
2017-04-18,2017,4,April,18,432
2017-04-12,2017,4,April,12,433
2017-10-29,2017,10,October,29,434
2017-08-11,2017,8,August,11,435
2017-04-04,2017,4,April,4,436
2017-03-31,2017,3,March,31,437
2018-04-20,2018,4,April,20,438
2017-08-24,2017,8,August,24,439
2017-11-07,2017,11,November,7,440
2017-10-13,2017,10,October,13,441
2017-06-15,2017,6,June,15,442
2017-08-15,2017,8,August,15,443
2018-03-02,2018,3,March,2,444
2017-08-22,2017,8,August,22,445
2017-08-06,2017,8,August,6,446
2018-08-17,2018,8,August,17,447
2017-01-26,2017,1,January,26,448
2018-03-11,2018,3,March,11,449
2017-02-02,2017,2,February,2,450
2018-03-25,2018,3,March,25,451
2017-07-20,2017,7,July,20,452
2017-06-18,2017,6,June,18,453
2017-02-22,2017,2,February,22,454
2017-03-12,2017,3,March,12,455
2018-04-29,2018,4,April,29,456
2018-02-26,2018,2,February,26,457
2017-08-21,2017,8,August,21,458
2017-09-25,2017,9,September,25,459
2017-09-04,2017,9,September,4,460
2017-05-22,2017,5,May,22,461
2017-10-08,2017,10,October,8,462
2017-07-15,2017,7,July,15,463
2017-10-15,2017,10,October,15,464
2018-03-20,2018,3,March,20,465
2017-10-07,2017,10,October,7,466
2017-09-09,2017,9,September,9,467
2017-05-24,2017,5,May,24,468
2017-03-21,2017,3,March,21,469
2017-01-31,2017,1,January,31,470
2018-08-28,2018,8,August,28,471
2017-11-10,2017,11,November,10,472
2017-05-27,2017,5,May,27,473
2018-08-13,2018,8,August,13,474
2017-10-23,2017,10,October,23,475
2017-10-20,2017,10,October,20,476
2018-08-23,2018,8,August,23,477
2017-08-30,2017,8,August,30,478
2017-08-27,2017,8,August,27,479
2017-04-08,2017,4,April,8,480
2017-02-18,2017,2,February,18,481
2018-03-28,2018,3,March,28,482
2017-02-24,2017,2,February,24,483
2017-06-11,2017,6,June,11,484
2017-07-06,2017,7,July,6,485
2018-06-02,2018,6,June,2,486
2017-09-01,2017,9,September,1,487
2018-07-19,2018,7,July,19,488
2017-03-03,2017,3,March,3,489
2018-03-05,2018,3,March,5,490
2018-04-27,2018,4,April,27,491
2017-01-19,2017,1,January,19,492
2017-07-21,2017,7,July,21,493
2017-06-14,2017,6,June,14,494
2017-05-01,2017,5,May,1,495
2017-04-28,2017,4,April,28,496
2017-09-22,2017,9,September,22,497
2017-05-13,2017,5,May,13,498
2017-04-09,2017,4,April,9,499
2018-01-20,2018,1,January,20,500
2018-07-14,2018,7,July,14,501
2018-06-29,2018,6,June,29,502
2017-06-07,2017,6,June,7,503
2017-08-08,2017,8,August,8,504
2017-10-30,2017,10,October,30,505
2017-08-13,2017,8,August,13,506
2018-04-21,2018,4,April,21,507
2017-09-28,2017,9,September,28,508
2017-09-23,2017,9,September,23,509
2016-10-04,2016,10,October,4,510
2017-02-28,2017,2,February,28,511
2017-02-04,2017,2,February,4,512
2017-12-18,2017,12,December,18,513
2017-10-14,2017,10,October,14,514
2017-04-10,2017,4,April,10,515
2017-06-30,2017,6,June,30,516
2016-10-07,2016,10,October,7,517
2017-11-12,2017,11,November,12,518
2017-07-18,2017,7,July,18,519
2017-11-01,2017,11,November,1,520
2017-04-07,2017,4,April,7,521
2018-06-17,2018,6,June,17,522
2017-08-18,2017,8,August,18,523
2017-08-29,2017,8,August,29,524
2017-06-12,2017,6,June,12,525
2017-08-25,2017,8,August,25,526
2018-04-07,2018,4,April,7,527
2017-02-16,2017,2,February,16,528
2017-03-11,2017,3,March,11,529
2017-05-28,2017,5,May,28,530
2017-06-01,2017,6,June,1,531
2017-01-15,2017,1,January,15,532
2017-07-25,2017,7,July,25,533
2017-01-12,2017,1,January,12,534
2017-03-26,2017,3,March,26,535
2018-09-20,2018,9,September,20,536
2018-05-22,2018,5,May,22,537
2017-01-30,2017,1,January,30,538
2018-05-29,2018,5,May,29,539
2017-09-30,2017,9,September,30,540
2017-01-29,2017,1,January,29,541
2017-02-27,2017,2,February,27,542
2017-12-29,2017,12,December,29,543
2017-01-17,2017,1,January,17,544
2018-08-29,2018,8,August,29,545
2017-06-22,2017,6,June,22,546
2017-06-09,2017,6,June,9,547
2017-09-24,2017,9,September,24,548
2017-06-28,2017,6,June,28,549
2017-02-03,2017,2,February,3,550
2017-10-21,2017,10,October,21,551
2017-08-19,2017,8,August,19,552
2017-10-03,2017,10,October,3,553
2018-08-18,2018,8,August,18,554
2017-12-13,2017,12,December,13,555
2017-08-12,2017,8,August,12,556
2018-07-09,2018,7,July,9,557
2017-09-07,2017,9,September,7,558
2018-03-22,2018,3,March,22,559
2017-04-21,2017,4,April,21,560
2017-09-02,2017,9,September,2,561
2017-06-03,2017,6,June,3,562
2017-03-16,2017,3,March,16,563
2018-07-07,2018,7,July,7,564
2017-04-17,2017,4,April,17,565
2017-06-21,2017,6,June,21,566
2018-07-10,2018,7,July,10,567
2017-05-30,2017,5,May,30,568
2017-03-20,2017,3,March,20,569
2017-02-21,2017,2,February,21,570
2017-01-24,2017,1,January,24,571
2018-03-13,2018,3,March,13,572
2017-08-07,2017,8,August,7,573
2017-02-09,2017,2,February,9,574
2017-03-02,2017,3,March,2,575
2017-02-15,2017,2,February,15,576
2017-11-05,2017,11,November,5,577
2017-01-13,2017,1,January,13,578
2017-02-05,2017,2,February,5,579
2018-07-08,2018,7,July,8,580
2017-03-18,2017,3,March,18,581
2017-12-30,2017,12,December,30,582
2017-02-01,2017,2,February,1,583
2017-12-31,2017,12,December,31,584
2017-05-04,2017,5,May,4,585
2017-01-16,2017,1,January,16,586
2017-07-07,2017,7,July,7,587
2017-10-10,2017,10,October,10,588
2017-04-02,2017,4,April,2,589
2017-11-04,2017,11,November,4,590
2017-03-17,2017,3,March,17,591
2017-04-05,2017,4,April,5,592
2016-09-05,2016,9,September,5,593
2016-09-04,2016,9,September,4,594
2016-10-10,2016,10,October,10,595
2017-04-23,2017,4,April,23,596
2018-09-13,2018,9,September,13,597
2016-10-06,2016,10,October,6,598
2017-02-14,2017,2,February,14,599
2017-04-01,2017,4,April,1,600
2016-10-08,2016,10,October,8,601
2017-02-19,2017,2,February,19,602
2017-01-18,2017,1,January,18,603
2016-10-03,2016,10,October,3,604
2017-04-16,2017,4,April,16,605
2016-10-09,2016,10,October,9,606
2017-01-20,2017,1,January,20,607
2017-01-11,2017,1,January,11,608
2018-09-11,2018,9,September,11,609
2016-09-13,2016,9,September,13,610
2017-01-07,2017,1,January,7,611
2017-01-08,2017,1,January,8,612
2018-09-17,2018,9,September,17,613
2018-08-30,2018,8,August,30,614
2018-09-06,2018,9,September,6,615
2017-01-06,2017,1,January,6,616
2018-09-03,2018,9,September,3,617
2016-09-15,2016,9,September,15,618
2018-09-10,2018,9,September,10,619
2018-10-03,2018,10,October,3,620
2017-01-10,2017,1,January,10,621
2018-09-25,2018,9,September,25,622
2018-09-26,2018,9,September,26,623
2016-12-23,2016,12,December,23,624
2017-01-09,2017,1,January,9,625
2018-09-29,2018,9,September,29,626
2016-10-22,2016,10,October,22,627
2018-10-17,2018,10,October,17,628
2018-10-16,2018,10,October,16,629
2018-09-12,2018,9,September,12,630
2016-10-02,2016,10,October,2,631
2018-10-01,2018,10,October,1,632
2018-08-31,2018,8,August,31,633
